question,sql,response,extracted_python_code
Retrieves the top 3 suppliers with the highest total sales for each region,"WITH SupplierSales AS (SELECT r_name AS region_name, s_name AS supplier_name, SUM(l_extendedprice * l_quantity) AS total_sales FROM region JOIN nation ON r_regionkey = n_regionkey JOIN supplier ON n_nationkey = s_nationkey JOIN lineitem ON s_suppkey = l_suppkey JOIN orders ON l_orderkey = o_orderkey GROUP BY r_name, s_name) SELECT region_name, supplier_name, total_sales FROM (SELECT region_name, supplier_name, total_sales, ROW_NUMBER() OVER (PARTITION BY region_name ORDER BY total_sales DESC) AS rank FROM SupplierSales) WHERE rank <= 3;","```python
supplier_revenue = suppliers.CALCULATE(
    supplier_key=key,
    nation_key=nation_key,
    total_revenue=SUM(lines.extended_price)
)
# Calculate the total sales for each supplier
supplier_sales = PARTITION(supplier_revenue, name=""supplier_rev"", by=nation_key).CALCULATE(
    supplier_key=supplier_rev.supplier_key,
    total_sales=SUM(supplier_rev.total_revenue)
)
#Rank suppliers within each region by their total sales.
ranked_suppliers = PARTITION(supplier_sales, name=""supplier_sale"", by=nation.region.name).CALCULATE(
    supplier_key = supplier_sale.supplier_key,
    region=supplier_sale.nation.region.name,
    total_sales=supplier_sale.total_sales,
    rank=RANKING(by=supplier_sale.total_sales.DESC(), levels=1)
)
# Get the top 3 suppliers for each region
top_suppliers_per_region = ranked_suppliers.WHERE(rank <= 3) 
```
","supplier_revenue = suppliers.CALCULATE(
    supplier_key=key,
    nation_key=nation_key,
    total_revenue=SUM(lines.extended_price)
)
# Calculate the total sales for each supplier
supplier_sales = PARTITION(supplier_revenue, name=""supplier_rev"", by=nation_key).CALCULATE(
    supplier_key=supplier_rev.supplier_key,
    total_sales=SUM(supplier_rev.total_revenue)
)
#Rank suppliers within each region by their total sales.
ranked_suppliers = PARTITION(supplier_sales, name=""supplier_sale"", by=nation.region.name).CALCULATE(
    supplier_key = supplier_sale.supplier_key,
    region=supplier_sale.nation.region.name,
    total_sales=supplier_sale.total_sales,
    rank=RANKING(by=supplier_sale.total_sales.DESC(), levels=1)
)
# Get the top 3 suppliers for each region
top_suppliers_per_region = ranked_suppliers.WHERE(rank <= 3)"
"For each European country, list the number of customers and the number of orders they placed in 1995, including customers who didn't place any orders that year.","SELECT n_name AS country_name, COUNT(DISTINCT c_custkey) AS total_customers, COUNT(DISTINCT CASE WHEN o_orderdate >= '1995-01-01' AND o_orderdate <= '1995-12-31' THEN o_orderkey END) AS total_orders_1995 FROM nation JOIN region ON n_regionkey = r_regionkey JOIN customer ON n_nationkey = c_nationkey LEFT JOIN orders ON c_custkey = o_custkey WHERE r_name = 'EUROPE' GROUP BY n_name;","```python
european_customers_orders = nations.WHERE(region.name == ""EUROPE"").CALCULATE(
    country=name,
    n_customers=COUNT(customers),
    n_orders_1995=COUNT(customers.orders.WHERE(YEAR(order_date) == 1995))
) 
```","european_customers_orders = nations.WHERE(region.name == ""EUROPE"").CALCULATE(
    country=name,
    n_customers=COUNT(customers),
    n_orders_1995=COUNT(customers.orders.WHERE(YEAR(order_date) == 1995))
)"
Retrieve the customer name of the customers who placed more orders in 1995 than in 1994,"SELECT c_name AS customer_name FROM customer JOIN orders ON c_custkey = o_custkey WHERE (strftime('%Y', o_orderdate) = '1994' OR strftime('%Y', o_orderdate) = '1995') GROUP BY c_custkey, c_name HAVING SUM(CASE WHEN strftime('%Y', o_orderdate) = '1995' THEN 1 ELSE 0 END) > SUM(CASE WHEN strftime('%Y', o_orderdate) = '1994' THEN 1 ELSE 0 END);","```python
customer_orders = customers.CALCULATE(
    customer_name = name,
    orders_1994 = COUNT(orders.WHERE(YEAR(order_date) == 1994)),
    orders_1995 = COUNT(orders.WHERE(YEAR(order_date) == 1995))
).WHERE(orders_1995 > orders_1994).CALCULATE(customer_name=customer_name)
```","customer_orders = customers.CALCULATE(
    customer_name = name,
    orders_1994 = COUNT(orders.WHERE(YEAR(order_date) == 1994)),
    orders_1995 = COUNT(orders.WHERE(YEAR(order_date) == 1995))
).WHERE(orders_1995 > orders_1994).CALCULATE(customer_name=customer_name)"
Which is the average order value per Nation? List the nation name and average order value. The order value is defined as extended_price * quantity,"SELECT n_name AS nation_name, AVG(l_extendedprice * l_quantity) AS average_order_value FROM nation JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey GROUP BY n_name;","```python
nation_avg_order_value = nations.CALCULATE(
    nation_name = name,
    avg_order_value = AVG(customers.orders.lines.CALCULATE(order_value = extended_price * quantity).order_value)
)
```
","nation_avg_order_value = nations.CALCULATE(
    nation_name = name,
    avg_order_value = AVG(customers.orders.lines.CALCULATE(order_value = extended_price * quantity).order_value)
)"
What 3 product brands saw the largest positive change in quantity sold from 1995 to 1996.,"SELECT s.s_name, COUNT(*) FROM partsupp ps JOIN supplier s ON s.s_suppkey = ps.ps_suppkey GROUP BY s.s_name;","```python
part_sales_1995 = PARTITION(
    Lines.WHERE(YEAR(order_date) == 1995),
    name=""sales_1995"",
    by=part.brand
).CALCULATE(
    brand=sales_1995.part.brand,
    quantity_1995=SUM(sales_1995.quantity)
)
part_sales_1996 = PARTITION(
    Lines.WHERE(YEAR(order_date) == 1996),
    name=""sales_1996"",
    by=part.brand
).CALCULATE(
    brand=sales_1996.part.brand,
    quantity_1996=SUM(sales_1996.quantity)
)
brand_sales_diff = part_sales_1995.CALCULATE(
    brand=brand,
    quantity_1995=quantity_1995,
    quantity_1996=part_sales_1996.quantity_1996
).CALCULATE(
    brand=brand,
    quantity_diff=quantity_1996 - quantity_1995
).ORDER_BY(
    quantity_diff.DESC()
).TOP_K(3)
```
","part_sales_1995 = PARTITION(
    Lines.WHERE(YEAR(order_date) == 1995),
    name=""sales_1995"",
    by=part.brand
).CALCULATE(
    brand=sales_1995.part.brand,
    quantity_1995=SUM(sales_1995.quantity)
)
part_sales_1996 = PARTITION(
    Lines.WHERE(YEAR(order_date) == 1996),
    name=""sales_1996"",
    by=part.brand
).CALCULATE(
    brand=sales_1996.part.brand,
    quantity_1996=SUM(sales_1996.quantity)
)
brand_sales_diff = part_sales_1995.CALCULATE(
    brand=brand,
    quantity_1995=quantity_1995,
    quantity_1996=part_sales_1996.quantity_1996
).CALCULATE(
    brand=brand,
    quantity_diff=quantity_1996 - quantity_1995
).ORDER_BY(
    quantity_diff.DESC()
).TOP_K(3)"
What is the total revenue generated by each customer in 1994?,"SELECT c.c_custkey AS custkey, SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue FROM customer c JOIN orders o ON c.c_custkey = o.o_custkey JOIN lineitem l ON o.o_orderkey = l.l_orderkey WHERE strftime('%Y', o.o_orderdate) = '1994' GROUP BY c.c_custkey ORDER BY total_revenue DESC;","```python
customer_revenue_1994 = customers.CALCULATE(
    customer_name = name,
    total_revenue_1994 = SUM(orders.WHERE(YEAR(order_date) == 1994).total_price)
)
```
","customer_revenue_1994 = customers.CALCULATE(
    customer_name = name,
    total_revenue_1994 = SUM(orders.WHERE(YEAR(order_date) == 1994).total_price)
)"
Find all customers whose name ends with a zero and are in the 30-lowest account balances,"SELECT c_custkey, c_name, c_acctbal FROM customer WHERE c_name LIKE '%0' ORDER BY c_acctbal ASC LIMIT 30;","```python
customers_low_balance_zero_name = customers.WHERE((PERCENTILE(by=acctbal.ASC()) <= 30) & ENDSWITH(name, '0')) 
```","customers_low_balance_zero_name = customers.WHERE((PERCENTILE(by=acctbal.ASC()) <= 30) & ENDSWITH(name, '0'))"
"For each of the 5 largest part sizes, find the part of that size with the largest retail price","WITH top_sizes AS (SELECT DISTINCT p_size FROM part ORDER BY p_size DESC LIMIT 5), ranked_parts AS (SELECT p.p_partkey, p.p_name, p.p_size, p.p_retailprice, RANK() OVER (PARTITION BY p.p_size ORDER BY p.p_retailprice DESC) AS price_rank FROM part p WHERE p.p_size IN (SELECT p_size FROM top_sizes)) SELECT p_partkey, p_name, p_size, p_retailprice FROM ranked_parts WHERE price_rank = 1 ORDER BY p_size DESC, p_retailprice DESC;","```python
part_size_ranks = PARTITION(parts, name=""size_rank"", by=size).CALCULATE(
    size=size,
    retail_price=MAX(size_rank.retail_price)
).TOP_K(5, by=size.DESC())

largest_part_by_size = parts.CALCULATE(
    p_size = size,
    p_retail_price=retail_price
).WHERE(
    (p_size, p_retail_price) IN part_size_ranks
)
```","part_size_ranks = PARTITION(parts, name=""size_rank"", by=size).CALCULATE(
    size=size,
    retail_price=MAX(size_rank.retail_price)
).TOP_K(5, by=size.DESC())

largest_part_by_size = parts.CALCULATE(
    p_size = size,
    p_retail_price=retail_price
).WHERE(
    (p_size, p_retail_price) IN part_size_ranks
)"
"Using TPCH. For each customer and each of his suppliers, show the ratio of costs paid by this customer to this supplier as a percent of the total cost that this customer paid worldwide, , as well as the ratio of revenue that this supplier received from this customer to the total revenue that this supplier received from all customers",,"```python
customer_supplier_ratio = PARTITION(customers.orders.lines, name='customer_lines', by=(customer.key, supplier.key)).CALCULATE(
    customer_key=customer.key,
    supplier_key=supplier.key,
    customer_spend_on_supplier=SUM(customer_lines.extended_price)
).PARTITION(by=customer_key).CALCULATE(
    customer_key=customer_key,
    supplier_key=supplier_key,
    customer_spend_on_supplier=customer_spend_on_supplier,
    customer_total_spend=SUM(customer_spend_on_supplier)
).CALCULATE(
    customer_key=customer_key,
    supplier_key=supplier_key,
    customer_spend_ratio=ROUND((customer_spend_on_supplier / customer_total_spend) * 100, 2)
).PARTITION(by=supplier_key).CALCULATE(
    customer_key=customer_key,
    supplier_key=supplier_key,
    customer_spend_ratio=customer_spend_ratio,
    supplier_total_revenue=SUM(customer_spend_on_supplier)
).CALCULATE(
    customer_key=customer_key,
    supplier_key=supplier_key,
    customer_spend_ratio=customer_spend_ratio,
    supplier_revenue_ratio=ROUND((customer_spend_on_supplier / supplier_total_revenue) * 100, 2)
)
```
","customer_supplier_ratio = PARTITION(customers.orders.lines, name='customer_lines', by=(customer.key, supplier.key)).CALCULATE(
    customer_key=customer.key,
    supplier_key=supplier.key,
    customer_spend_on_supplier=SUM(customer_lines.extended_price)
).PARTITION(by=customer_key).CALCULATE(
    customer_key=customer_key,
    supplier_key=supplier_key,
    customer_spend_on_supplier=customer_spend_on_supplier,
    customer_total_spend=SUM(customer_spend_on_supplier)
).CALCULATE(
    customer_key=customer_key,
    supplier_key=supplier_key,
    customer_spend_ratio=ROUND((customer_spend_on_supplier / customer_total_spend) * 100, 2)
).PARTITION(by=supplier_key).CALCULATE(
    customer_key=customer_key,
    supplier_key=supplier_key,
    customer_spend_ratio=customer_spend_ratio,
    supplier_total_revenue=SUM(customer_spend_on_supplier)
).CALCULATE(
    customer_key=customer_key,
    supplier_key=supplier_key,
    customer_spend_ratio=customer_spend_ratio,
    supplier_revenue_ratio=ROUND((customer_spend_on_supplier / supplier_total_revenue) * 100, 2)
)"
"Using TPCH. For each customer and each of his suppliers, show the ratio of costs paid by this customer to this supplier as a percent of the total cost that this customer paid to all suppliers of this supplier's country,  as well as the ratio of revenue that this supplier received from this customer to the total revenue that this supplier received from all customers of the country of this customer",,"```python
customer_supplier_ratios = PARTITION(customers, name=""cust"", by=(nation_key, key)).CALCULATE(
    customer_key=key,
    nation_key=nation_key,
    customer_total_cost=SUM(cust.orders.lines.part_and_supplier.supplycost)
).JOIN(
    PARTITION(suppliers, name=""sup"", by=(nation_key, key)).CALCULATE(
        supplier_key=key,
        nation_key=nation_key,
        supplier_total_revenue=SUM(sup.lines.part_and_supplier.supplycost)
    ),
    on=nation_key
).JOIN(
    PARTITION(Orders.lines.CALCULATE(
        customer_key=customer.key,
        supplier_key=supplier_key,
        cost=part_and_supplier.supplycost
    ), name=""pair"", by=(customer_key, supplier_key)),
    on=(customer_key, supplier_key)
).CALCULATE(
    customer_supplier_cost=SUM(pair.cost),
    cost_ratio=SUM(pair.cost) * 100 / customer_total_cost,
    revenue_ratio=SUM(pair.cost) * 100 / supplier_total_revenue
)
```
","customer_supplier_ratios = PARTITION(customers, name=""cust"", by=(nation_key, key)).CALCULATE(
    customer_key=key,
    nation_key=nation_key,
    customer_total_cost=SUM(cust.orders.lines.part_and_supplier.supplycost)
).JOIN(
    PARTITION(suppliers, name=""sup"", by=(nation_key, key)).CALCULATE(
        supplier_key=key,
        nation_key=nation_key,
        supplier_total_revenue=SUM(sup.lines.part_and_supplier.supplycost)
    ),
    on=nation_key
).JOIN(
    PARTITION(Orders.lines.CALCULATE(
        customer_key=customer.key,
        supplier_key=supplier_key,
        cost=part_and_supplier.supplycost
    ), name=""pair"", by=(customer_key, supplier_key)),
    on=(customer_key, supplier_key)
).CALCULATE(
    customer_supplier_cost=SUM(pair.cost),
    cost_ratio=SUM(pair.cost) * 100 / customer_total_cost,
    revenue_ratio=SUM(pair.cost) * 100 / supplier_total_revenue
)"
